Company_Name,,,0,1,2,probability-0,word-0,probability-1,word-1,probability-2,word-2
google,google_pro,5,"0.018*""fun""","0.026*""benefits""","0.020*""pay""",0.018,"""fun""",0.026,"""benefits""",0.02,"""pay"""
google,google_pro,6,"0.018*""coworkers""","0.025*""opportunities""","0.019*""time""",0.018,"""coworkers""",0.025,"""opportunities""",0.019,"""time"""
google,google_pro,7,"0.017*""benefits""","0.019*""job""","0.019*""everything""",0.017,"""benefits""",0.019,"""job""",0.019,"""everything"""
google,google_pro,8,"0.017*""perks""","0.018*""salary""","0.018*""colleagues""",0.017,"""perks""",0.018,"""salary""",0.018,"""colleagues"""
google,google_pro,9,"0.016*""food""","0.016*""employees""","0.017*""experience""",0.016,"""food""",0.016,"""employees""",0.017,"""experience"""
google,google_con,0,"0.048*""none""","0.051*""nothing""","0.025*""time""",0.048,"""none""",0.051,"""nothing""",0.025,"""time"""
google,google_con,1,"0.026*""balance""","0.040*""work""","0.019*""things""",0.026,"""balance""",0.04,"""work""",0.019,"""things"""
google,google_con,2,"0.022*""people""","0.030*""hours""","0.017*""politics""",0.022,"""people""",0.03,"""hours""",0.017,"""politics"""
google,google_con,3,"0.022*""life""","0.019*""lot""","0.017*""job""",0.022,"""life""",0.019,"""lot""",0.017,"""job"""
google,google_con,4,"0.017*""work""","0.017*""place""","0.016*""management""",0.017,"""work""",0.017,"""place""",0.016,"""management"""
google,google_con,5,"0.015*""growth""","0.016*""pressure""","0.016*""times""",0.015,"""growth""",0.016,"""pressure""",0.016,"""times"""
google,google_con,6,"0.013*""team""","0.016*""projects""","0.012*""lots""",0.013,"""team""",0.016,"""projects""",0.012,"""lots"""
google,google_con,7,"0.011*""project""","0.014*""environment""","0.011*""culture""",0.011,"""project""",0.014,"""environment""",0.011,"""culture"""
google,google_con,8,"0.010*""process""","0.013*""bit""","0.010*""managers""",0.01,"""process""",0.013,"""bit""",0.01,"""managers"""
google,google_con,9,"0.010*""salary""","0.013*""everything""","0.010*""people""",0.01,"""salary""",0.013,"""everything""",0.01,"""people"""
ibm,ibm_pro,0,"0.066*""work""","0.025*""lots""","0.065*""balance""",0.066,"""work""",0.025,"""lots""",0.065,"""balance"""
ibm,ibm_pro,1,"0.055*""environment""","0.016*""technology""","0.056*""life""",0.055,"""environment""",0.016,"""technology""",0.056,"""life"""
ibm,ibm_pro,2,"0.045*""home""","0.014*""salary""","0.051*""people""",0.045,"""home""",0.014,"""salary""",0.051,"""people"""
ibm,ibm_pro,3,"0.040*""benefits""","0.013*""working""","0.041*""place""",0.04,"""benefits""",0.013,"""working""",0.041,"""place"""
ibm,ibm_pro,4,"0.040*""culture""","0.013*""name""","0.037*""opportunities""",0.04,"""culture""",0.013,"""name""",0.037,"""opportunities"""
ibm,ibm_pro,5,"0.033*""flexibility""","0.012*""things""","0.029*""work""",0.033,"""flexibility""",0.012,"""things""",0.029,"""work"""
ibm,ibm_pro,6,"0.022*""hours""","0.012*""resources""","0.024*""career""",0.022,"""hours""",0.012,"""resources""",0.024,"""career"""
ibm,ibm_pro,7,"0.022*""pay""","0.011*""brand""","0.020*""projects""",0.022,"""pay""",0.011,"""brand""",0.02,"""projects"""
ibm,ibm_pro,8,"0.017*""team""","0.010*""people""","0.018*""growth""",0.017,"""team""",0.01,"""people""",0.018,"""growth"""
ibm,ibm_pro,9,"0.015*""time""","0.010*""opportunities""","0.017*""lot""",0.015,"""time""",0.01,"""opportunities""",0.017,"""lot"""
ibm,ibm_con,0,"0.024*""pay""","0.028*""nothing""","0.025*""management""",0.024,"""pay""",0.028,"""nothing""",0.025,"""management"""
ibm,ibm_con,1,"0.019*""compensation""","0.025*""hike""","0.021*""work""",0.019,"""compensation""",0.025,"""hike""",0.021,"""work"""
ibm,ibm_con,2,"0.017*""benefits""","0.018*""people""","0.014*""hours""",0.017,"""benefits""",0.018,"""people""",0.014,"""hours"""
ibm,ibm_con,3,"0.016*""career""","0.018*""processes""","0.012*""balance""",0.016,"""career""",0.018,"""processes""",0.012,"""balance"""
ibm,ibm_con,4,"0.016*""market""","0.017*""growth""","0.011*""life""",0.016,"""market""",0.017,"""growth""",0.011,"""life"""
ibm,ibm_con,5,"0.015*""process""","0.016*""none""","0.011*""politics""",0.015,"""process""",0.016,"""none""",0.011,"""politics"""
ibm,ibm_con,6,"0.014*""time""","0.014*""opportunities""","0.011*""business""",0.014,"""time""",0.014,"""opportunities""",0.011,"""business"""
ibm,ibm_con,7,"0.014*""hikes""","0.014*""salary""","0.009*""culture""",0.014,"""hikes""",0.014,"""salary""",0.009,"""culture"""
ibm,ibm_con,8,"0.014*""project""","0.013*""managers""","0.009*""layoffs""",0.014,"""project""",0.013,"""managers""",0.009,"""layoffs"""
ibm,ibm_con,9,"0.013*""growth""","0.012*""employees""","0.008*""employees""",0.013,"""growth""",0.012,"""employees""",0.008,"""employees"""
microsoft,microsoft_pro,0,"0.051*""benefits""","0.022*""technology""","0.044*""environment""",0.051,"""benefits""",0.022,"""technology""",0.044,"""environment"""
microsoft,microsoft_pro,1,"0.050*""balance""","0.020*""products""","0.037*""opportunities""",0.05,"""balance""",0.02,"""products""",0.037,"""opportunities"""
microsoft,microsoft_pro,2,"0.048*""people""","0.016*""culture""","0.024*""work""",0.048,"""people""",0.016,"""culture""",0.024,"""work"""
microsoft,microsoft_pro,3,"0.042*""work""","0.014*""people""","0.020*""compensation""",0.042,"""work""",0.014,"""people""",0.02,"""compensation"""
microsoft,microsoft_pro,4,"0.039*""life""","0.014*""experience""","0.020*""career""",0.039,"""life""",0.014,"""experience""",0.02,"""career"""
microsoft,microsoft_pro,5,"0.038*""place""","0.013*""technologies""","0.019*""benefits""",0.038,"""place""",0.013,"""technologies""",0.019,"""benefits"""
microsoft,microsoft_pro,6,"0.031*""pay""","0.013*""world""","0.019*""people""",0.031,"""pay""",0.013,"""world""",0.019,"""people"""
microsoft,microsoft_pro,7,"0.020*""salary""","0.009*""benefits""","0.019*""lot""",0.02,"""salary""",0.009,"""benefits""",0.019,"""lot"""
microsoft,microsoft_pro,8,"0.015*""job""","0.009*""areas""","0.018*""projects""",0.015,"""job""",0.009,"""areas""",0.018,"""projects"""
microsoft,microsoft_pro,9,"0.013*""culture""","0.008*""product""","0.017*""lots""",0.013,"""culture""",0.008,"""product""",0.017,"""lots"""
microsoft,microsoft_con,0,"0.027*""work""","0.018*""management""","0.016*""nothing""",0.027,"""work""",0.018,"""management""",0.016,"""nothing"""
microsoft,microsoft_con,1,"0.025*""balance""","0.018*""time""","0.015*""growth""",0.025,"""balance""",0.018,"""time""",0.015,"""growth"""
microsoft,microsoft_con,2,"0.018*""people""","0.015*""politics""","0.013*""review""",0.018,"""people""",0.015,"""politics""",0.013,"""review"""
microsoft,microsoft_con,3,"0.018*""life""","0.015*""hours""","0.013*""companies""",0.018,"""life""",0.015,"""hours""",0.013,"""companies"""
microsoft,microsoft_con,4,"0.014*""things""","0.014*""team""","0.011*""bit""",0.014,"""things""",0.014,"""team""",0.011,"""bit"""
microsoft,microsoft_con,5,"0.012*""times""","0.014*""culture""","0.010*""compensation""",0.012,"""times""",0.014,"""culture""",0.01,"""compensation"""
microsoft,microsoft_con,6,"0.011*""lot""","0.014*""none""","0.010*""pay""",0.011,"""lot""",0.014,"""none""",0.01,"""pay"""
microsoft,microsoft_con,7,"0.011*""place""","0.012*""environment""","0.010*""career""",0.011,"""place""",0.012,"""environment""",0.01,"""career"""
microsoft,microsoft_con,8,"0.010*""teams""","0.010*""employees""","0.010*""processes""",0.01,"""teams""",0.01,"""employees""",0.01,"""processes"""
microsoft,microsoft_con,9,"0.010*""organization""","0.010*""opportunities""","0.009*""system""",0.01,"""organization""",0.01,"""opportunities""",0.009,"""system"""
